TYPE,YEAR,HUNDRED_BLOCK,X,Y
Theft from Vehicle,2016,19XX ROBSON ST,490028.12,5459980.69
Theft of Vehicle,2016,1XX SEMLIN DR,495380.95,5458971.04
Other Theft,2016,2XX E GEORGIA ST,492800.16,5458431.82
Other Theft,2016,2XX E GEORGIA ST,492774.87,5458432.39
Mischief,2016,E 42ND AVE / WALES ST,496240.74,5453220.65
Theft from Vehicle,2016,19XX ROBSON ST,490031.25,5459990.75
Theft from Vehicle,2016,19XX ROBSON ST,490031.25,5459990.75
Theft from Vehicle,2016,19XX ROBSON ST,490031.25,5459990.75
Theft from Vehicle,2016,19XX ROBSON ST,490031.25,5459990.75
Mischief,2016,5XX CASSIAR ST,497759.87,5458486.95
Theft of Vehicle,2016,CAMBIE ST / W 24TH AVE,491604.57,5455264.73
Theft from Vehicle,2016,19XX SCOTIA ST,492843.25,5457216.46
Theft from Vehicle,2016,19XX SCOTIA ST,492854.11,5457215.16
Theft from Vehicle,2016,19XX SCOTIA ST,492854.11,5457215.16
Mischief,2016,E 44TH AVE / RUPERT ST,496858.34,5453045.53
Mischief,2016,5XX COLUMBIA ST,492552.92,5458566.34
Theft from Vehicle,2016,19XX SCOTIA ST,492857.2,5457218.83
Theft of Vehicle,2016,CAMBIE ST / W 39TH AVE,491534.09,5453631.06
Theft from Vehicle,2016,8XX BEATTY ST,491645.65,5458249.79
Mischief,2016,E 45TH AVE / RUPERT ST,496861.7,5452947.74
Theft from Vehicle,2016,19XX STAINSBURY AVE,495249.87,5455410.02
Theft from Vehicle,2016,35XX E 45TH AVE,498058.8,5452943.23
Mischief,2016,5XX COLUMBIA ST,492554.39,5458590.28
Theft from Vehicle,2016,45XX W 15TH AVE,484733.3,5456297.92
Theft from Vehicle,2016,19XX STEPHENS ST,487904.49,5457396.27
Theft from Vehicle,2016,35XX E 45TH AVE,497885.39,5452945.37
Theft from Vehicle,2016,19XX TEMPLETON DR,495639.81,5457185.83
Theft from Vehicle,2016,19XX TEMPLETON DR,495639.95,5457213.38
Theft from Vehicle,2016,19XX TOLMIE ST,484577.82,5457423.74
Theft from Vehicle,2016,19XX TRAFALGAR ST,488026.25,5457341.94
Mischief,2016,4XX E HASTINGS ST,493142.21,5458721.9
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,2XX DAVIE ST,491152.0,5457941.05
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,84XX GRANVILLE ST,489772.33,5450796.49
Theft from Vehicle,2016,19XX TURNER ST,495295.54,5458494.62
Theft from Vehicle,2016,19XX TURNER ST,495331.88,5458493.96
Theft of Vehicle,2016,CAMBIE ST / W 57TH AVE,491486.89,5451814.68
Theft from Vehicle,2016,14XX STRATHMORE MEWS,490780.71,5457831.23
Theft from Vehicle,2016,19XX VENABLES ST,495314.93,5458214.76
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Theft from Vehicle,2016,19XX W 10TH AVE,489210.05,5456675.53
Theft from Vehicle,2016,19XX W 10TH AVE,489210.05,5456675.53
Other Theft,2016,84XX GRANVILLE ST,489762.86,5450783.83
Theft from Vehicle,2016,19XX W 11TH AVE,489207.44,5456573.09
Theft of Vehicle,2016,CAMBIE ST / W 60TH AVE,491476.71,5451466.9
Theft from Vehicle,2016,19XX W 12TH AVE,489099.46,5456476.73
Theft of Vehicle,2016,CAMBIE ST / W 64TH AVE,491465.04,5451065.0
Break and Enter Commercial,2016,9XX W 8TH AVE,490864.49,5456841.74
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
