X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-123.105860462078,49.2623383061239,Tenth Avenue Church,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>FACILITY</th>
<td>Tenth Avenue Church</td>
</tr><tr bgcolor="""">
<th>CATEGORY</th>
<td>Adults (all genders)</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>PHONE</th>
<td>604-876-2181</td>
</tr><tr bgcolor="""">
<th>MEALS</th>
<td>yes</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>PETS</th>
<td>no</td>
</tr><tr bgcolor="""">
<th>CARTS</th>
<td>no</td>
</tr></table></center>",,,,,-1,0,-1,,
-123.097065334772,49.2809665379675,First United Church,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>FACILITY</th>
<td>First United Church</td>
</tr><tr bgcolor="""">
<th>CATEGORY</th>
<td>Adults (all genders)</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>PHONE</th>
<td>604-681-8365</td>
</tr><tr bgcolor="""">
<th>MEALS</th>
<td>yes</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>PETS</th>
<td>yes</td>
</tr><tr bgcolor="""">
<th>CARTS</th>
<td>yes</td>
</tr></table></center>",,,,,-1,0,-1,,
-123.127792927078,49.2795671693397,Dusk to Dawn-Directions Youth Centre,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>FACILITY</th>
<td>Dusk to Dawn-Directions Youth Centre</td>
</tr><tr bgcolor="""">
<th>CATEGORY</th>
<td>Youth (all genders)</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>PHONE</th>
<td>604-633-1472</td>
</tr><tr bgcolor="""">
<th>MEALS</th>
<td>yes</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>PETS</th>
<td>no</td>
</tr><tr bgcolor="""">
<th>CARTS</th>
<td>no</td>
</tr></table></center>",,,,,-1,0,-1,,
-123.070551901448,49.2693356609832,Vineyard Church,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>FACILITY</th>
<td>Vineyard Church</td>
</tr><tr bgcolor="""">
<th>CATEGORY</th>
<td>Adults (all genders)</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>PHONE</th>
<td>604-255-4463</td>
</tr><tr bgcolor="""">
<th>MEALS</th>
<td>yes</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>PETS</th>
<td>no</td>
</tr><tr bgcolor="""">
<th>CARTS</th>
<td>no</td>
</tr></table></center>",,,,,-1,0,-1,,
-123.126146126461,49.2816379423176,First Baptist Church,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>FACILITY</th>
<td>First Baptist Church</td>
</tr><tr bgcolor="""">
<th>CATEGORY</th>
<td>Adults (all genders)</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>PHONE</th>
<td>604-683-8441</td>
</tr><tr bgcolor="""">
<th>MEALS</th>
<td>yes</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>PETS</th>
<td>no</td>
</tr><tr bgcolor="""">
<th>CARTS</th>
<td>no</td>
</tr></table></center>",,,,,-1,0,-1,,
-123.089140653353,49.2832570142586,Triage,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>FACILITY</th>
<td>Triage</td>
</tr><tr bgcolor="""">
<th>CATEGORY</th>
<td>Adults (all genders)</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>PHONE</th>
<td>604-254-3700</td>
</tr><tr bgcolor="""">
<th>MEALS</th>
<td>no</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>PETS</th>
<td>no</td>
</tr><tr bgcolor="""">
<th>CARTS</th>
<td>no</td>
</tr></table></center>",,,,,-1,0,-1,,
-123.090986046798,49.2818717041335,Union Gospel Mission,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>FACILITY</th>
<td>Union Gospel Mission</td>
</tr><tr bgcolor="""">
<th>CATEGORY</th>
<td>Men</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>PHONE</th>
<td>604-253-3323</td>
</tr><tr bgcolor="""">
<th>MEALS</th>
<td>yes</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>PETS</th>
<td>no</td>
</tr><tr bgcolor="""">
<th>CARTS</th>
<td>no</td>
</tr></table></center>",,,,,-1,0,-1,,
-123.101429426307,49.2821349512488,The Haven,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>FACILITY</th>
<td>The Haven</td>
</tr><tr bgcolor="""">
<th>CATEGORY</th>
<td>Men</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>PHONE</th>
<td>604-646-6800</td>
</tr><tr bgcolor="""">
<th>MEALS</th>
<td>no</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>PETS</th>
<td>no</td>
</tr><tr bgcolor="""">
<th>CARTS</th>
<td>no</td>
</tr></table></center>",,,,,-1,0,-1,,
-123.101220422812,49.2821315364482,Anchor of Hope,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>FACILITY</th>
<td>Anchor of Hope</td>
</tr><tr bgcolor="""">
<th>CATEGORY</th>
<td>Adults (all genders)</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>PHONE</th>
<td>604-646-6899</td>
</tr><tr bgcolor="""">
<th>MEALS</th>
<td>yes</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>PETS</th>
<td>no</td>
</tr><tr bgcolor="""">
<th>CARTS</th>
<td>no</td>
</tr></table></center>",,,,,-1,0,-1,,
-123.100913161934,49.2820397545483,The Beacon,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>FACILITY</th>
<td>The Beacon</td>
</tr><tr bgcolor="""">
<th>CATEGORY</th>
<td>Men</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>PHONE</th>
<td>604-646-6846</td>
</tr><tr bgcolor="""">
<th>MEALS</th>
<td>no</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>PETS</th>
<td>no</td>
</tr><tr bgcolor="""">
<th>CARTS</th>
<td>no</td>
</tr></table></center>",,,,,-1,0,-1,,
